"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Khon Kaen",57.5775191325576,52.3280328915488,46.3590957796388,45.3556990011989,44.4788209480599,35.350374366959,34.5542543629541,35.7388091149681,34.963275720076,39.3015052694421,39.1608239721399,37.8670174636979,37.511706112676,37.4741623823948,36.9373819111897,36.792980636618,31.8869904419403,30.0986107412314,41.5225790770074,41.3670742412315,40.133608690782,39.8372763065696,35.3478179183029,34.7885531170216,41.504100102807,38.5233971700068
"Krabi",39.1897769690726,34.0796637903831,39.9529987683273,39.7618434382436,38.4491112021728,33.1354433035512,26.1937205290405,39.7836885237247,39.9484722328685,40.0681739019954,36.5759735624402,39.9045501375609,38.5249194097038,42.1131389400856,39.3661906633795,39.4746833430963,35.1584374402642,34.1770927949755,36.5984627294123,36.4787121231062,43.6774319294418,40.7360470702279,36.0614289681751,31.1290263069737,36.567712986077,34.0159559234161
"Bangkok Metropolis",44.0226068432061,43.7986550872752,41.17723540215,41.1335753614522,41.1162400668176,32.3820771273564,29.6086364890582,29.9541574053868,26.456844080388,35.1179991417818,34.1878847675604,46.6427596274755,45.3851424558694,49.9982140851452,47.0976681101168,47.1556166582836,46.6021642314806,45.9323293242509,45.6687720716511,45.1124452199394,35.968972748738,35.1067542932237,36.7113451106468,36.20169528581,58.2673606160403,55.3083848916653
"Lampang",57.5500969810086,50.3497589521129,38.0625903331595,38.2895762296685,38.1516369574851,31.6978534991428,30.0512641733615,29.1245484068785,25.0890225135309,39.7644135143417,38.1225286967528,35.3493134161762,33.9044724879367,36.2225963003342,36.8945985448928,35.3272751885505,38.7644577135752,38.0767784103172,38.858813362736,38.8856473246362,32.6388771964052,32.4609836294058,37.2025201849655,38.0022010154672,47.9533123335374,42.0352318444996
"Lamphun",41.6114249642572,41.3509109103733,40.0752591873237,38.8531857082877,38.6317938805352,32.584684021181,28.9007745840817,32.3513253153413,31.0038659334002,39.1297789320898,37.3756982222066,60.8372720385963,49.7454671999829,34.7343899214033,32.0168567283309,32.5993524023888,43.2546310038123,40.9074898830727,36.4439177621105,34.5845934646018,37.5840555853784,36.7016611286251,32.9637742797539,30.3451160821939,53.6632336656564,49.0306299192579
"Loei",49.4387294617693,46.2189922204675,41.8414357093927,41.1537135101374,40.893592772755,31.7829502362663,30.6702482472824,33.6824069541593,31.8953311197352,41.0461972513937,40.6223403595235,31.6087505957742,29.8139385297302,35.6694682064698,36.2484843513953,34.6236225257052,35.2484198084288,33.6246369660364,33.0146987923588,30.5980158668448,44.0203927863878,41.9031110373026,33.4810393543047,32.5804008425124,50.1838819275283,46.8834650230898
"Lop Buri",41.4502850635215,41.4867607232114,41.3312714374389,40.6319925093095,40.8306625802739,30.5109284636612,26.8778906757935,28.8225033965138,26.432157811778,38.5769011166967,37.1418018040087,33.6789135345437,31.6273917522067,36.5079030326578,35.8800601524793,33.7440359391306,43.6391016563383,39.4050721990689,47.5101708012692,44.9167168073794,35.6061873707041,32.8551689028112,46.4741264785488,42.8677708749896,58.753005943472,53.6898106312293
"Mae Hong Son",45.1266154426872,41.1217800749345,36.3368061468147,36.7589219935569,35.6904953202115,35.5890118268393,35.4021062348865,25.4727194003892,21.6813051388374,26.3855702495991,22.6573003752933,32.7714697117491,32.0546916917584,30.0405484739446,27.7780314941909,26.3472831614393,28.8112949093033,31.648831999839,31.3669403436256,30.7614435922362,35.5235373453335,32.934096475583,33.8086711061903,34.3948504822835,52.7054937712486,44.6422308056464
"Maha Sarakham",57.765785961129,50.8528035421178,40.6236631153535,39.9259778152419,40.6217461275367,31.948399465555,29.6797301161582,40.327495385292,39.3148751115841,38.7602348997522,37.6085205573231,45.1884241762219,43.422429333224,36.8699961416724,36.8422116072596,35.588397240434,32.310866337365,29.5558002005656,42.3058262872689,41.3877331547673,39.078355751098,38.2020648210361,37.2136707309673,35.6609614477726,47.4470593060565,44.2004052911118
"Nakhon Nayok",47.3649801964036,43.9398009659434,33.1336874135959,31.8089733934505,31.1917328737337,29.8250697371759,27.6879302101843,31.9140694372997,28.7917248136426,39.0853000348389,34.8389480911094,35.6592938317248,32.2597548057138,35.8673384711136,35.7808397422916,33.540706336894,35.6222098427721,31.9645411713851,42.2731561426867,38.7800937558795,38.7959727384727,34.5319273968113,41.0492810301845,41.3281456316857,46.5611569647328,42.2637311705738
