"","1980-Jan","1980-Feb","1980-Mar","1980-Apr","1980-May","1980-Jun","1980-Jul","1980-Aug","1980-Sep","1980-Oct","1980-Nov","1980-Dec","1981-Jan","1981-Feb","1981-Mar","1981-Apr","1981-May","1981-Jun","1981-Jul","1981-Aug","1981-Sep","1981-Oct","1981-Nov","1981-Dec","1982-Jan","1982-Feb","1982-Mar","1982-Apr","1982-May","1982-Jun","1982-Jul","1982-Aug","1982-Sep","1982-Oct","1982-Nov","1982-Dec","1983-Jan","1983-Feb","1983-Mar","1983-Apr","1983-May","1983-Jun","1983-Jul","1983-Aug","1983-Sep","1983-Oct","1983-Nov","1983-Dec","1984-Jan","1984-Feb","1984-Mar","1984-Apr","1984-May","1984-Jun","1984-Jul","1984-Aug","1984-Sep","1984-Oct","1984-Nov","1984-Dec","1985-Jan","1985-Feb","1985-Mar","1985-Apr","1985-May","1985-Jun","1985-Jul","1985-Aug","1985-Sep","1985-Oct","1985-Nov","1985-Dec","1986-Jan","1986-Feb","1986-Mar","1986-Apr","1986-May","1986-Jun","1986-Jul","1986-Aug","1986-Sep","1986-Oct","1986-Nov","1986-Dec","1987-Jan","1987-Feb","1987-Mar","1987-Apr","1987-May","1987-Jun","1987-Jul","1987-Aug","1987-Sep","1987-Oct","1987-Nov","1987-Dec","1988-Jan","1988-Feb","1988-Mar","1988-Apr","1988-May","1988-Jun","1988-Jul","1988-Aug","1988-Sep","1988-Oct","1988-Nov","1988-Dec","1989-Jan","1989-Feb","1989-Mar","1989-Apr","1989-May","1989-Jun","1989-Jul","1989-Aug","1989-Sep","1989-Oct","1989-Nov","1989-Dec","1990-Jan","1990-Feb","1990-Mar","1990-Apr","1990-May","1990-Jun","1990-Jul","1990-Aug","1990-Sep","1990-Oct","1990-Nov","1990-Dec","1991-Jan","1991-Feb","1991-Mar","1991-Apr","1991-May","1991-Jun","1991-Jul","1991-Aug","1991-Sep","1991-Oct","1991-Nov","1991-Dec","1992-Jan","1992-Feb","1992-Mar","1992-Apr","1992-May","1992-Jun","1992-Jul","1992-Aug","1992-Sep","1992-Oct","1992-Nov","1992-Dec","1993-Jan","1993-Feb","1993-Mar","1993-Apr","1993-May","1993-Jun","1993-Jul","1993-Aug","1993-Sep","1993-Oct","1993-Nov","1993-Dec","1994-Jan","1994-Feb","1994-Mar","1994-Apr","1994-May","1994-Jun","1994-Jul","1994-Aug","1994-Sep","1994-Oct","1994-Nov","1994-Dec","1995-Jan","1995-Feb","1995-Mar","1995-Apr","1995-May","1995-Jun","1995-Jul","1995-Aug","1995-Sep","1995-Oct","1995-Nov","1995-Dec","1996-Jan","1996-Feb","1996-Mar","1996-Apr","1996-May","1996-Jun","1996-Jul","1996-Aug","1996-Sep","1996-Oct","1996-Nov","1996-Dec","1997-Jan","1997-Feb","1997-Mar","1997-Apr","1997-May","1997-Jun","1997-Jul","1997-Aug","1997-Sep","1997-Oct","1997-Nov","1997-Dec","1998-Jan","1998-Feb","1998-Mar","1998-Apr","1998-May","1998-Jun","1998-Jul","1998-Aug","1998-Sep","1998-Oct","1998-Nov","1998-Dec","1999-Jan","1999-Feb","1999-Mar","1999-Apr","1999-May","1999-Jun","1999-Jul","1999-Aug","1999-Sep","1999-Oct","1999-Nov","1999-Dec","2000-Jan","2000-Feb","2000-Mar","2000-Apr","2000-May","2000-Jun","2000-Jul","2000-Aug","2000-Sep","2000-Oct","2000-Nov","2000-Dec","2001-Jan","2001-Feb","2001-Mar","2001-Apr","2001-May","2001-Jun","2001-Jul","2001-Aug","2001-Sep","2001-Oct","2001-Nov","2001-Dec","2002-Jan","2002-Feb","2002-Mar","2002-Apr","2002-May","2002-Jun","2002-Jul","2002-Aug","2002-Sep","2002-Oct","2002-Nov","2002-Dec","2003-Jan","2003-Feb","2003-Mar","2003-Apr","2003-May","2003-Jun","2003-Jul","2003-Aug","2003-Sep","2003-Oct","2003-Nov","2003-Dec","2004-Jan","2004-Feb","2004-Mar","2004-Apr","2004-May","2004-Jun","2004-Jul","2004-Aug","2004-Sep","2004-Oct","2004-Nov","2004-Dec","2005-Jan","2005-Feb","2005-Mar","2005-Apr","2005-May","2005-Jun","2005-Jul","2005-Aug","2005-Sep","2005-Oct","2005-Nov","2005-Dec","2006-Jan","2006-Feb","2006-Mar","2006-Apr","2006-May","2006-Jun","2006-Jul","2006-Aug","2006-Sep","2006-Oct","2006-Nov","2006-Dec","2007-Jan","2007-Feb","2007-Mar","2007-Apr","2007-May","2007-Jun","2007-Jul","2007-Aug","2007-Sep","2007-Oct","2007-Nov","2007-Dec","2008-Jan","2008-Feb","2008-Mar","2008-Apr","2008-May","2008-Jun","2008-Jul","2008-Aug","2008-Sep","2008-Oct","2008-Nov","2008-Dec","2009-Jan","2009-Feb","2009-Mar","2009-Apr","2009-May","2009-Jun","2009-Jul","2009-Aug","2009-Sep","2009-Oct","2009-Nov","2009-Dec","2010-Jan","2010-Feb","2010-Mar","2010-Apr","2010-May","2010-Jun","2010-Jul","2010-Aug","2010-Sep","2010-Oct","2010-Nov","2010-Dec","2011-Jan","2011-Feb","2011-Mar","2011-Apr","2011-May","2011-Jun","2011-Jul","2011-Aug","2011-Sep","2011-Oct","2011-Nov","2011-Dec","2012-Jan","2012-Feb","2012-Mar","2012-Apr","2012-May","2012-Jun","2012-Jul","2012-Aug","2012-Sep","2012-Oct","2012-Nov","2012-Dec","2013-Jan","2013-Feb","2013-Mar","2013-Apr","2013-May","2013-Jun","2013-Jul","2013-Aug","2013-Sep","2013-Oct","2013-Nov","2013-Dec","2014-Jan","2014-Feb","2014-Mar","2014-Apr","2014-May","2014-Jun","2014-Jul","2014-Aug","2014-Sep","2014-Oct","2014-Nov","2014-Dec","2015-Jan","2015-Feb","2015-Mar","2015-Apr","2015-May","2015-Jun","2015-Jul","2015-Aug","2015-Sep","2015-Oct","2015-Nov","2015-Dec"
"Nakhon Nayok",24,27,19,4,6,10,3,3,2,0,6,1,2,14,7,8,10,0,3,9,1,2,0,0,26,72,34,24,11,18,16,4,4,8,8,12,26,36,27,11,0,2,2,13,8,22,23,41,36,37,30,22,10,15,14,6,19,24,18,29,46,28,18,8,4,12,13,13,6,4,1,0,6,17,10,11,5,4,2,6,5,25,15,24,34,31,14,8,5,3,24,43,58,84,95,44,43,14,4,3,8,1,7,3,1,3,3,1,15,2,4,8,2,6,3,10,1,2,1,0,13,9,29,21,5,16,14,17,30,25,24,27,31,46,67,34,16,16,6,4,12,14,10,6,1,0,5,1,2,8,3,2,1,1,1,0,1,3,8,2,1,3,6,9,4,7,1,4,26,87,137,34,4,6,7,9,18,13,17,2,6,2,3,6,8,3,2,1,1,1,0,3,2,1,5,1,0,0,4,0,1,1,2,1,10,5,3,1,1,0,2,2,3,3,6,11,17,19,30,18,5,4,2,1,0,0,0,1,24,28,58,16,2,4,5,0,2,0,0,0,4,0,2,1,0,2,0,0,0,0,2,1,0,0,0,3,2,3,3,0,1,0,0,1,2,0,3,1,1,2,1,0,0,1,0,0,1,0,0,0,2,1,0,1,1,2,0,0,1,1,2,1,1,1,2,1,1,0,1,2,1,1,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,2,2,3,0,3,3,0,1,0,2,2,3,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Nakhon Pathom",59,50,51,12,3,6,8,9,10,7,11,25,56,67,85,34,25,25,54,100,82,72,57,38,97,111,102,62,50,23,51,26,35,32,36,22,40,86,95,50,39,49,35,83,130,100,92,104,120,146,116,68,21,39,27,39,44,55,42,43,98,131,94,79,35,44,54,104,91,84,101,71,82,85,77,47,21,24,22,23,30,20,12,14,19,36,50,27,21,32,38,63,56,101,92,102,150,109,129,58,20,20,25,12,15,16,7,10,15,12,8,6,4,7,6,4,3,11,14,8,68,84,62,25,20,24,30,38,30,35,19,41,92,150,133,17,10,21,25,10,19,12,7,21,15,12,17,10,5,2,11,7,3,2,3,3,3,6,20,20,6,6,5,6,3,7,9,14,58,127,180,64,19,17,16,17,13,7,8,5,7,10,15,3,4,4,2,6,5,1,0,0,4,5,11,2,2,2,4,1,6,7,8,2,3,1,6,3,6,0,1,2,9,22,9,7,31,32,36,11,4,6,5,3,5,0,4,2,4,2,3,2,4,3,0,1,3,2,1,2,4,3,2,1,5,5,2,1,5,0,3,4,5,6,8,2,0,3,4,2,3,5,4,0,14,30,31,22,9,10,8,7,7,2,2,0,5,7,3,3,2,3,5,1,4,9,3,4,3,5,7,5,4,1,8,10,3,7,4,3,12,9,7,5,2,3,2,3,3,2,6,6,2,0,2,2,0,2,1,0,1,1,0,1,1,1,2,0,1,0,2,0,1,0,0,0,3,0,2,1,0,0,1,1,1,2,0,0,0,1,0,1,0,1,3,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Nakhon Phanom",5,16,35,32,37,17,9,17,24,31,20,6,21,49,31,31,25,7,16,16,13,6,5,1,10,5,23,20,11,9,19,24,8,29,6,7,98,191,346,192,128,61,27,11,5,17,5,5,23,32,56,18,4,0,3,6,9,0,0,0,11,31,46,38,45,62,130,269,360,287,106,53,39,43,79,74,33,18,10,9,14,14,6,8,3,1,7,7,24,21,12,5,4,8,12,25,28,24,36,27,20,13,12,12,70,17,20,11,48,26,12,14,45,30,31,33,105,105,84,43,27,31,28,12,12,6,7,2,2,4,2,2,4,6,6,11,33,22,15,23,4,9,1,7,13,20,40,69,47,88,119,88,73,78,35,12,46,32,51,37,56,19,28,17,25,23,11,17,14,20,19,20,14,16,14,23,18,30,29,24,59,49,94,39,7,30,80,119,66,23,15,15,15,7,17,9,8,3,14,7,2,2,1,0,4,7,4,3,1,3,4,1,10,13,4,4,6,5,10,10,4,4,4,6,6,2,6,3,7,1,6,3,3,1,5,11,6,1,3,1,6,4,1,1,2,2,1,1,0,2,4,4,10,14,18,4,1,1,7,1,2,1,1,2,2,0,3,0,0,2,1,2,0,1,0,1,1,1,1,0,3,0,2,0,2,0,0,0,4,1,1,2,1,2,1,0,1,1,2,0,2,3,2,1,1,2,1,4,6,1,0,0,0,0,0,5,3,1,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,1,2,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,2,0,1,0,1,0,1,0,1,1,1,2,1,2,0,0,0,0,0,0,0,1,0,2,4,1,1,1,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0
"Nakhon Ratchasima",127,187,312,224,100,115,69,86,79,45,52,43,106,171,219,167,120,120,68,69,59,56,56,59,99,182,201,113,82,92,84,73,45,63,50,39,90,180,362,339,225,235,220,245,206,209,144,133,124,189,214,182,88,147,205,165,180,88,86,90,126,147,151,112,149,166,197,120,107,81,85,112,79,103,120,92,56,66,43,41,28,40,37,22,35,42,90,82,95,152,182,239,226,319,388,267,323,373,534,207,162,115,96,49,35,18,20,9,12,15,28,24,27,36,34,21,36,47,37,76,83,101,153,88,115,100,110,110,100,100,123,105,229,357,566,248,214,319,177,123,62,31,35,27,17,39,90,50,20,16,22,17,26,7,8,5,8,27,59,41,22,31,14,18,11,13,45,67,257,248,514,264,159,261,226,262,196,162,97,119,189,147,123,44,15,22,23,25,37,26,11,5,10,17,26,14,11,16,18,17,21,6,0,0,22,29,46,45,41,50,100,89,179,107,70,128,257,264,339,132,44,37,21,9,9,5,4,0,10,8,9,10,7,20,17,7,6,7,10,2,4,14,5,13,16,19,32,5,7,3,4,2,7,10,10,4,9,7,16,10,5,5,20,67,113,109,175,84,61,91,131,129,112,89,65,101,137,65,54,30,22,13,12,16,12,17,22,17,26,16,25,18,15,21,23,17,20,16,21,17,17,16,11,5,18,9,19,6,11,11,5,5,5,6,3,1,1,0,5,6,5,13,11,5,8,9,15,4,6,4,6,4,6,4,2,1,2,2,8,7,1,3,3,5,8,13,18,13,6,10,12,3,2,1,6,1,7,2,1,4,8,6,2,3,1,1,4,1,3,4,2,8,7,6,4,1,6,5,2,3,5,8,5,6,10,16,16,7,3,2,2,0,3,4,3,3,5,5,2,2,3,1,5,2,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,2,0,0,3,2,1,0,0,2
"Nakhon Sawan",31,28,13,13,6,4,8,2,0,3,2,5,5,16,23,19,14,11,11,14,25,46,30,22,56,78,73,43,23,15,14,11,8,18,10,4,17,35,30,24,8,15,10,30,27,33,28,45,88,104,162,64,47,56,55,64,71,57,75,95,89,71,109,53,20,19,12,17,11,17,7,7,12,12,9,23,22,19,13,16,17,34,25,24,44,61,117,80,68,49,64,53,46,73,84,109,184,193,244,111,52,35,26,25,12,16,9,19,22,28,36,38,28,35,16,20,14,17,22,30,48,84,96,57,39,34,39,46,32,61,39,97,129,155,234,117,31,23,31,19,37,36,13,10,15,22,30,17,5,6,8,5,3,5,3,2,6,16,19,13,9,10,4,8,17,45,44,53,181,301,308,96,37,41,47,20,14,27,33,59,70,59,78,27,16,11,8,14,5,4,8,4,9,5,14,8,3,5,3,10,7,6,2,1,15,18,11,23,15,20,21,18,19,20,22,38,69,77,116,26,8,6,4,2,4,0,2,2,1,9,6,3,3,2,4,9,4,5,2,1,6,23,16,5,4,3,5,0,4,6,5,0,2,7,7,5,4,11,28,34,51,53,23,18,32,61,44,17,11,5,43,31,34,11,3,12,28,17,21,11,5,8,10,7,12,7,16,5,21,12,7,8,7,10,4,6,4,2,0,3,7,6,7,3,9,2,4,8,2,6,8,2,12,13,12,8,14,14,2,5,6,6,3,2,4,7,6,2,7,9,7,6,2,8,4,3,6,11,5,5,9,8,54,40,50,42,23,20,15,25,40,48,16,14,11,15,8,2,9,3,9,12,14,18,13,8,7,10,17,6,4,3,9,6,4,7,7,6,11,26,16,17,11,4,27,21,10,18,17,47,54,63,65,28,19,11,16,11,7,6,5,11,6,6,6,6,2,2,4,5,6,0,2,2,1,4,7,0,3,2,0,3,2,3,6,17,7,11,3,6,3,4
"Nakhon Si Thammarat",10,6,8,3,2,2,1,4,9,9,12,5,6,7,12,15,18,16,19,30,18,44,21,34,25,72,58,28,29,38,47,31,24,31,28,32,24,16,26,13,14,35,55,69,118,135,90,54,64,48,46,33,26,23,22,17,14,22,24,14,14,11,18,18,28,44,74,103,188,151,123,112,75,68,54,14,11,31,33,26,21,26,24,32,27,30,29,28,21,32,65,49,61,93,117,104,112,113,108,46,26,44,43,56,57,78,57,62,57,38,42,25,16,22,18,31,40,47,62,65,47,47,39,19,50,51,91,81,83,65,77,35,50,57,87,37,45,48,42,54,64,64,74,33,32,21,16,13,4,8,1,13,5,16,7,15,25,37,50,19,18,32,50,62,64,109,78,40,56,94,76,39,13,10,11,23,19,20,13,31,39,17,37,26,21,50,47,45,65,65,38,14,26,17,8,8,3,7,5,3,4,4,5,8,8,8,8,4,6,8,8,6,9,10,12,1,30,27,21,11,9,15,13,14,18,43,37,18,14,16,16,16,8,6,11,1,2,5,6,2,9,3,4,3,2,3,3,6,5,9,3,6,10,9,15,8,6,8,17,18,37,28,15,24,26,27,18,17,8,13,12,25,12,2,1,4,6,6,7,8,4,4,5,5,2,10,3,2,14,12,12,4,8,6,3,1,2,1,7,5,4,6,3,3,5,3,3,6,3,4,5,0,7,3,11,9,4,7,4,6,2,2,3,2,1,7,5,4,4,2,1,3,2,1,5,3,1,1,8,7,9,13,19,27,28,30,12,8,11,18,13,7,7,5,9,1,3,5,5,6,2,7,5,5,4,5,8,10,3,3,4,2,2,4,4,8,3,7,6,4,5,13,6,4,6,0,2,4,7,2,5,2,1,3,2,3,0,6,4,3,2,1,2,0,0,4,4,2,2,1,2,2,0,0,0,1,0,0,1,1,0,1,1,1,2,0,0,0,3,1,2,0
"Nan",2,7,7,9,8,5,23,50,50,81,88,78,85,50,47,37,11,6,6,30,65,30,43,6,21,29,22,9,36,69,52,31,23,33,41,53,66,82,61,50,24,65,69,28,32,21,58,31,53,96,113,83,50,48,26,27,14,9,14,10,44,52,67,57,36,15,8,6,5,3,5,4,3,3,3,8,7,10,10,8,5,3,2,0,6,4,9,7,4,7,4,22,29,136,98,93,141,139,119,37,22,7,12,11,8,5,1,1,7,3,4,2,3,2,2,2,2,2,1,3,4,1,2,5,4,14,3,2,0,0,3,0,15,3,2,13,6,8,4,3,4,1,8,58,34,12,14,10,7,3,11,8,1,3,1,0,1,1,3,3,6,42,58,49,76,118,40,33,66,121,119,178,58,68,69,58,56,38,84,152,139,83,32,13,31,43,15,7,2,1,0,1,1,3,1,3,2,1,1,4,0,1,1,1,0,2,7,2,9,4,1,3,1,4,2,1,4,5,0,2,4,2,5,3,2,1,1,3,1,2,2,2,2,2,6,1,0,0,0,1,1,0,1,3,0,1,2,1,0,1,0,1,1,2,0,3,1,2,3,2,4,1,0,1,72,106,34,13,15,48,5,7,1,1,1,0,2,6,9,3,2,2,6,5,2,3,3,1,1,3,2,0,2,4,1,1,1,1,1,0,0,0,2,0,1,1,1,0,0,0,0,2,3,4,7,1,2,2,4,3,0,5,0,1,7,0,5,3,5,10,3,5,0,3,1,2,3,6,9,3,5,6,8,4,6,5,0,2,1,8,8,3,2,3,2,4,4,2,0,2,2,1,1,2,2,1,5,6,2,3,4,4,4,1,4,10,1,1,0,9,3,0,2,2,5,4,6,1,2,3,3,0,0,0,3,1,7,0,5,3,3,3,3,4,2,2,1,0,1,4,0,0,1,4,5,6,3,0,4,2,2,2,0,0,2,1,3,2,0,1,1,1
"Narathiwat",0,1,5,0,5,1,9,5,4,5,7,6,18,16,11,13,5,2,7,6,7,11,19,15,8,20,10,9,8,5,10,21,24,16,15,36,10,21,18,15,15,19,18,9,10,11,15,14,17,11,10,15,7,5,13,11,9,20,18,6,7,4,8,5,9,5,8,12,5,9,6,9,15,5,10,2,2,5,10,18,11,15,10,3,12,0,7,5,3,3,1,15,19,17,11,32,21,19,22,17,6,7,16,33,22,31,14,11,9,9,7,3,2,1,2,2,1,8,1,3,9,6,16,12,4,5,12,15,12,14,6,9,26,20,20,11,3,4,4,3,1,1,1,4,6,1,1,2,8,3,8,16,14,29,15,13,22,9,22,9,3,2,6,2,5,4,2,1,4,4,1,3,1,8,11,1,2,9,6,12,12,12,16,20,10,13,6,31,33,38,16,10,9,4,11,10,9,7,8,11,21,18,13,11,10,7,6,4,6,6,8,16,7,11,11,6,11,11,11,5,4,3,1,0,9,5,2,3,1,2,4,3,0,3,0,8,1,3,5,7,9,2,7,2,3,12,20,21,14,36,20,16,16,18,15,20,10,27,54,61,34,61,21,4,6,18,9,7,6,3,4,6,7,3,4,2,1,11,12,12,6,9,10,7,2,2,6,3,2,1,4,2,7,11,14,12,17,28,34,15,15,37,26,13,11,9,6,5,5,15,7,2,25,123,41,1,2,4,2,2,2,1,2,1,2,4,2,1,1,1,0,0,0,1,2,0,1,2,4,0,3,2,1,1,27,2,4,0,1,2,1,1,3,4,1,2,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,1,0,0,1,2,0,1,1,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,0,1
"Nong Khai",12,9,13,12,5,9,10,5,8,1,2,2,5,76,149,16,40,40,33,23,12,7,9,3,65,118,84,22,22,46,46,15,12,12,0,0,8,26,29,26,22,6,10,11,5,3,1,0,9,29,4,1,1,0,3,6,1,0,1,2,24,23,13,18,5,10,30,15,4,4,4,4,26,50,22,1,3,2,2,0,2,1,0,5,7,6,5,4,8,16,10,21,3,8,16,25,37,46,22,9,12,31,28,12,7,5,7,6,8,7,10,6,14,12,11,12,11,9,9,11,11,8,40,26,17,15,25,13,8,5,15,9,11,4,11,19,8,20,19,11,5,4,0,1,0,2,12,5,1,3,5,4,3,4,2,0,2,3,3,5,0,3,5,1,1,6,38,7,26,33,39,20,11,19,14,4,14,2,0,3,0,4,7,2,1,1,1,0,0,1,0,2,0,2,1,0,4,1,1,0,0,0,1,1,2,1,5,2,0,4,22,74,35,18,14,7,40,82,26,13,8,9,2,4,2,4,4,2,3,2,0,1,0,1,0,0,1,0,0,0,1,0,3,3,0,2,2,1,1,1,0,1,2,3,1,1,0,1,0,0,0,0,0,1,1,1,3,2,0,1,1,0,0,0,0,0,1,3,3,1,0,3,0,1,0,2,0,1,0,0,0,1,0,0,1,1,2,0,2,0,0,0,1,2,1,8,6,2,0,0,0,0,2,0,1,1,9,1,1,0,0,0,0,0,0,0,3,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Nonthaburi",52,47,19,12,4,1,2,5,2,5,6,7,10,29,45,30,23,31,22,40,37,69,28,35,90,142,118,61,15,23,28,33,22,40,35,16,58,57,32,32,18,27,31,53,54,79,56,38,54,134,117,46,37,24,39,57,108,90,85,66,86,80,72,23,12,19,19,27,21,28,49,20,71,78,64,33,15,10,5,7,12,20,17,22,33,36,55,31,24,32,49,62,72,93,74,47,52,56,35,23,9,4,7,4,15,23,11,12,17,14,11,10,1,8,7,5,9,18,16,27,27,55,41,15,26,15,16,16,20,37,24,20,41,55,103,17,5,8,15,12,9,7,5,5,4,15,17,12,3,2,2,7,1,3,3,2,4,10,27,10,6,2,1,5,2,7,18,20,103,179,144,38,13,10,4,5,8,4,8,4,8,8,5,2,7,6,10,1,1,1,4,1,2,7,9,2,5,4,0,4,3,3,4,5,6,9,7,7,3,4,12,12,22,20,9,4,22,20,10,4,2,2,6,1,2,1,2,1,7,5,1,0,3,2,1,1,3,4,1,2,5,4,3,6,1,3,2,9,5,5,4,5,8,8,3,6,1,9,5,5,16,15,13,3,9,11,10,5,3,2,4,1,4,4,3,1,2,3,5,7,5,2,6,10,9,6,4,6,4,6,4,1,2,1,1,2,7,2,7,4,6,3,4,1,2,3,6,8,5,2,1,5,0,0,3,0,0,0,0,0,1,0,0,0,3,2,3,11,4,1,1,5,3,0,1,1,1,2,2,1,1,1,1,1,0,0,0,0,4,26,3,2,0,0,1,0,0,1,0,0,2,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,2,1,0,0,0,0
"Pathum Thani",31,38,26,10,4,17,6,5,5,6,3,5,17,27,26,17,11,28,14,18,24,30,23,33,45,69,66,16,12,13,16,12,9,19,18,20,19,31,43,23,4,11,6,15,29,59,49,28,36,91,64,27,15,23,15,36,27,72,74,48,49,53,46,24,8,6,3,9,12,18,27,15,22,59,38,22,15,6,8,5,16,9,10,10,38,36,33,27,12,27,45,86,102,106,88,47,63,67,41,10,9,4,9,2,6,10,10,7,21,13,34,12,7,1,3,3,7,13,10,7,27,18,36,10,1,12,4,8,12,7,16,16,38,50,105,56,10,7,8,12,13,4,2,5,15,11,9,8,2,4,2,2,1,0,4,3,17,14,39,9,3,2,6,13,7,3,12,15,84,74,67,21,8,5,5,10,4,3,12,16,29,21,20,3,5,8,3,4,4,2,2,0,5,4,9,4,0,2,3,5,6,4,9,5,4,7,22,4,7,4,11,43,49,43,31,18,20,15,25,9,5,1,7,4,2,5,4,2,8,5,4,2,2,10,1,6,3,1,3,5,3,6,8,2,3,1,1,3,2,6,3,3,5,4,5,7,4,4,8,3,17,12,10,6,21,40,28,12,3,2,5,0,6,1,0,0,4,4,1,3,2,3,26,51,40,19,7,3,8,9,2,2,0,1,3,3,1,1,0,1,1,5,1,0,1,1,0,1,1,3,2,0,2,8,6,2,0,1,1,1,1,5,0,1,2,0,1,0,1,0,2,2,3,0,0,0,2,2,4,3,4,4,8,8,13,14,7,3,21,23,16,3,5,16,7,6,1,2,3,3,2,3,4,3,1,2,4,2,2,3,2,2,3,4,5,3,7,6,3,4,1,4,9,1,4,5,1,2,4,3,2,4,1,5,4,3,2,4,2,2,2,0,2,2,1,2,0,1,0,3,3,3,1,1,1,2,1,2,1,0,0,1,2,0,0,2,0,0,0,0,0,1
"Pattani",0,1,0,3,0,2,6,3,4,4,4,1,3,9,2,9,6,6,3,4,15,3,2,0,4,6,20,15,5,9,9,27,14,20,10,9,6,5,4,9,5,2,2,2,2,8,7,7,5,9,15,6,3,11,11,17,7,2,1,1,8,6,3,7,5,5,1,10,8,15,15,16,10,25,11,4,4,6,12,4,7,8,16,8,14,4,6,4,6,8,13,12,10,2,4,2,15,5,10,5,0,6,4,6,10,26,18,12,36,26,9,7,4,4,7,9,15,5,8,10,13,28,25,9,9,7,10,13,15,12,17,14,20,10,13,2,3,5,2,2,0,6,6,11,5,6,8,8,9,6,9,7,8,6,6,3,9,4,4,4,2,2,5,1,1,0,0,3,3,2,1,0,2,1,7,7,7,12,18,17,9,13,15,9,3,4,8,7,6,2,1,3,2,0,0,0,0,0,1,0,1,1,1,4,2,1,6,3,3,1,2,10,31,15,17,10,6,3,3,2,0,2,2,1,3,2,1,1,1,2,1,2,2,0,0,1,0,1,2,2,3,4,4,4,1,5,6,10,10,43,25,24,30,27,23,22,12,23,49,35,25,33,30,17,11,11,3,2,7,6,20,6,4,4,4,7,4,3,1,5,1,12,4,3,4,5,3,0,5,5,8,9,8,6,6,5,4,2,9,8,18,7,12,7,16,27,18,27,21,14,6,1,1,0,0,0,0,5,0,0,0,0,2,2,3,1,3,3,3,5,2,1,1,2,2,1,0,2,3,1,2,2,4,2,1,1,0,0,4,2,1,1,5,3,1,2,0,1,1,0,1,0,0,0,2,2,4,2,0,0,0,0,5,2,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,9,5,7,2,0,0,1,2,0,0,1,2,5,1,3,3,0,0,1,0,1,0,0,1,1,0,0,1,1,2,0,0,2,0,0,0,0,1,1,0,1,1,0
