"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"Prachin Buri",840784.3121,823010.0462,805235.7802,592000,603000,725510,743700,761400,779400,860944,871619,882818,893360,412540,421822,426639,432251,538621.7912,520847.5253,503073.2593,485298.9934,467524.7275,449750.4615,431976.1956,414201.9297,396427.6637,378653.3978,360879.1319,343104.8659,325330.6,307556.3341,289782.0681,272007.8022,254233.5363,236459.2703,218685.0044
"Prachuap Khiri Khan",371587.5187,377652.4791,383717.4396,369000,377000,417620,424800,431600,438500,416478,421952,428157,451155,452235,456220,461016,463132,474691.8462,480756.8066,486821.767,492886.7275,498951.6879,505016.6484,511081.6088,517146.5692,523211.5297,529276.4901,535341.4505,541406.411,547471.3714,553536.3319,559601.2923,565666.2527,571731.2132,577796.1736,583861.1341
"Ranong",75918.10549,80319.47033,84720.83516,89000,92000,101000,104500,108400,112200,111850,116086,119329,130787,134751,137554,143397,147381,150741.3077,155142.6725,159544.0374,163945.4022,168346.767,172748.1319,177149.4967,181550.8615,185952.2264,190353.5912,194754.956,199156.3209,203557.6857,207959.0505,212360.4154,216761.7802,221163.1451,225564.5099,229965.8747
"Ratchaburi",595290.6571,608867.2571,622443.8571,626000,639000,685970,691100,695600,699900,706745,715279,724389,777105,783286,790143,798076,807164,826092.8571,839669.4571,853246.0571,866822.6571,880399.2571,893975.8571,907552.4571,921129.0571,934705.6571,948282.2571,961858.8571,975435.4571,989012.0571,1002588.657,1016165.257,1029741.857,1043318.457,1056895.057,1070471.657
"Rayong",328982.0901,339451.9077,349921.7253,337000,343000,397020,404900,412200,419800,442099,448821,456714,437552,463738,467359,477895,490137,506968.989,517438.8066,527908.6242,538378.4418,548848.2593,559318.0769,569787.8945,580257.7121,590727.5297,601197.3473,611667.1648,622136.9824,632606.8,643076.6176,653546.4352,664016.2527,674486.0703,684955.8879,695425.7055
"Roi Et",1059583.437,1075015.444,1090447.451,1107000,1117000,1145990,1153100,1159900,1166300,1209225,1222599,1234486,1238930,1254976,1282947,1291750,1302422,1321927.549,1337359.556,1352791.563,1368223.569,1383655.576,1399087.582,1414519.589,1429951.596,1445383.602,1460815.609,1476247.615,1491679.622,1507111.629,1522543.635,1537975.642,1553407.648,1568839.655,1584271.662,1599703.668
"Sakon Nakhon",766639.8,786038.6857,805437.5714,843000,859000,859750,870300,881100,890900,949537,966413,983104,1014343,1021119,1048901,1057674,1067868,1096420.857,1115819.743,1135218.629,1154617.514,1174016.4,1193415.286,1212814.171,1232213.057,1251611.943,1271010.829,1290409.714,1309808.6,1329207.486,1348606.371,1368005.257,1387404.143,1406803.029,1426201.914,1445600.8
"Samut Prakan",443712.5604,478334.8022,512957.044,508000,521000,634000,660000,687500,715300,822259,844382,868400,871806,895384,914360,926110,948233,1032290.67,1066912.912,1101535.154,1136157.396,1170779.637,1205401.879,1240024.121,1274646.363,1309268.604,1343890.846,1378513.088,1413135.33,1447757.571,1482379.813,1517002.055,1551624.297,1586246.538,1620868.78,1655491.022
"Samut Sakhon",241178.5582,251475.4769,261772.3956,270000,278000,294000,300900,308000,315000,346236,354101,362597,372605,373464,381316,390699,399072,416226.1758,426523.0945,436820.0132,447116.9319,457413.8505,467710.7692,478007.6879,488304.6066,498601.5253,508898.444,519195.3626,529492.2813,539789.2,550086.1187,560383.0374,570679.956,580976.8747,591273.7934,601570.7121
"Samut Songkhram",202048.3495,202369.2901,202690.2308,204000,209000,200420,201300,201700,202300,206494,206420,206238,206712,205996,206268,206979,207535,207504.3407,207825.2813,208146.222,208467.1626,208788.1033,209109.044,209429.9846,209750.9253,210071.8659,210392.8066,210713.7473,211034.6879,211355.6286,211676.5692,211997.5099,212318.4505,212639.3912,212960.3319,213281.2725
